Phrase	Grammar	Transcription	Translation	Notes
τό οἰκητήριον, -ου	V		dwelling, habitation, abode	
ἡ ὁδοιπορία, -ας	N		a walking, journey	
νομίμως	V		rightly, lawfully	
ἡ ὁμοιότης, -ητος	N		likeness, similarity	
ἡ ὀθόνη, -ης	N		linen cloth, sheet	
ἡ ξενία, -ας	N		hospitality, a lodging place	
ἡ νέκρωσις, -εως	N		death, putting to death	
ὁ Ὀζίας, -ου	N		Uzziah	
παράκειμαι	Adj		to be present, at hand	
ὀρθός, -ή, -όν	V		straight, upright	
ἡ ὄρνις, -ιθος	N		a hen	
παραλογίζομαι	N		to deceive, delude	
ὁ παραπικρασμός, -οῦ	V		a rebellion, provocation	
Πάγος	Adj		Areopagus (Hill of Mars)	
ὁ Ὀνησίφορος, -ου	V		Onesiphorus	
ἡ παλιγγενεσία, -ας	Adj		renewal, rebirth, regeneration	
ὁ παιδευτής, -οῦ	N		instructor, one who disciplines	
ἡ ὁσιότης, -ητος	Adv		piety, holiness	
ἡ ὀργυιά, -ᾶς	V		a fathom	
τό ὀφείλημα, -τος	N		debt, that which is owed	
ἡ ὀφθαλμοδουλία, -ας	N		eyeservice, external service	
παραβιάζομαι	Adj		to urge strongly, prevail upon	
παραλέγομαι	N		to coast or sail along, to sail past	
ὀρεινός	Adv		hill country	
ἡ ὁρμή, -ῆς	V		impulse, inclination, attempt	
ἡ ὀπή, -ῆς	N		opening, hole	
ὀνικός, -ή, -όν	V		of or for an ass	
παραινέω	N		to recommend, urge	
παντελής, -ές	V		completely, forever	
ὀστράκινος, -η, -ον	N		made of earth or clay	
ἡ οὐσία, -ας	N		property, estate	
ὁρκίζω	N		to adjure, implore	
οὐρανόθεν	N		from heaven	
ὀρφανός, -ή, -όν	N		an orphan	
ὁ Ὀνήσιμος, -ου	N		Onesimus	
περιέχω	Adj		to surround, seize, contain	
τό πέλαγος, -ους	V		the open sea, the depths (of the sea)	
ὁ περίεργος, -ου	Adv		meddlesome, belonging to magic	
περιαστράπτω	V		to shine around, flash around	
ἡ παροικία, -ας	N		a sojourn, stay	
παρίημι	N		to neglect, weaken	
ἡ πεῖρα, -ας	N		attempt, trial, experience	
παροργίζω	Adj		to provoke to anger	
